Year,Growth Rate,Population Change,Median Age,Fertility Rate,Urban Population %
2024,0.87 %,"70,237,642",30.6,2.25,55
162,"878,591",0.42 %,"3,708",351,"2,500","-2,931",2.151,38,N.A.,0 %
163,"866,628",1.91 %,"16,241",466,"1,861","-2,051",3.822,21,33.2 %,0 %
164,"831,087",0.57 %,"4,734",4,"196,850","-5,407",2.395,26,26.5 %,0 %
165,"819,198",2.4 %,"19,193",29,"27,990","1,610",3.513,20,22.5 %,0 %
166,"791,524",0.65 %,"5,139",21,"38,117",-277,1.449,30,49.5 %,0 %
167,"720,262",0.89 %,"6,350","24,009",30,"1,620",0.676,39,96 %,0 %
168,"673,036",1.19 %,"7,938",260,"2,590","5,677",1.399,39,87 %,0 %
169,"638,479",0.78 %,"4,927",47,"13,450","-1,686",1.799,40,67.8 %,0 %
170,"634,431",0.88 %,"5,545",4,"156,000","-1,166",2.231,28,62.4 %,0 %
171,"590,506",1.86 %,"10,777",2,"266,000","5,358",2.177,32,96.6 %,0 %
172,"539,607",1.25 %,"6,651","1,686",320,"6,323",1.106,41,77.2 %,0 %
173,"527,799",0.34 %,"1,805","1,759",300,"-2,421",1.56,32,38.9 %,0 %
174,"526,923",0.32 %,"1,683",753,700,"-5,076",2.825,26,74.5 %,0 %
175,"524,877",0.49 %,"2,546",130,"4,030","-1,209",1.511,28,77.6 %,0 %
176,"462,721",0.82 %,"3,772",88,"5,270",0,1.731,32,79.7 %,0 %
177,"417,072",1.45 %,"5,966",18,"22,810",490,2.021,26,48.2 %,0 %
178,"401,283",0.46 %,"1,843",40,"10,010","1,018",1.374,35,88 %,0 %
179,"393,396",1.51 %,"5,838",4,"100,250","3,543",1.517,36,84.4 %,0 %
180,"375,106",-0.37 %,"-1,411",222,"1,690","-1,765",2.073,47,N.A.,0 %
181,"343,195",-0.81 %,"-2,807",324,"1,060","-2,744",1.992,49,N.A.,0 %
182,"327,777",2.3 %,"7,368",27,"12,190",-43,3.569,20,25.3 %,0 %
183,"326,505",3.32 %,"10,490",871,375,108,4.562,17,41.7 %,0 %
184,"308,522",1.69 %,"5,120",4,"82,200","-1,018",3.341,25,93.7 %,0 %
185,"292,639",0.96 %,"2,769",16,"18,280",455,1.964,34,75.2 %,0 %
186,"282,467",0.05 %,131,657,430,-70,1.708,39,32.3 %,0 %
187,"281,807",0.25 %,689,77,"3,660","-1,261",1.491,35,65.6 %,0 %
188,"235,536",2.02 %,"4,665",245,960,-604,3.596,19,77.6 %,0 %
189,"218,019",0.63 %,"1,356",77,"2,830","-2,754",3.801,20,16.4 %,0 %
190,"185,482",0.03 %,55,418,444,513,1.071,38,80.3 %,0 %
191,"179,744",0.26 %,459,295,610,-7,1.385,34,19.7 %,0 %
192,"167,777",0.76 %,"1,271",311,540,-504,2.748,31,98.8 %,0 %
193,"134,518",1.5 %,"1,988",166,810,-471,3.124,23,56.6 %,0 %
194,"130,418",1.93 %,"2,467",284,460,"1,747",2.109,34,44.2 %,0 %
195,"117,207",0.11 %,126,345,340,-192,1.472,34,35.3 %,0 %
196,"108,066",0.12 %,127,600,180,141,1.606,41,44.4 %,0 %
197,"104,175",-0.4 %,-422,145,720,"-2,149",3.1,21,25.6 %,0 %
198,"100,616",-0.7 %,-707,258,390,-737,1.761,34,60.6 %,0 %
199,"93,772",0.49 %,456,213,440,9,1.582,36,28.3 %,0 %
200,"84,905",-0.93 %,-796,243,350,-420,2.081,45,N.A.,0 %
201,"84,160",-0.01 %,-5,148,570,177,1.544,46,56.1 %,0 %
202,"81,938",1.34 %,"1,082",174,470,988,1.087,43,83.2 %,0 %
203,"74,457",1.94 %,"1,419",310,240,896,1.525,38,89.8 %,0 %
204,"66,205",-0.46 %,-305,88,750,-200,1.48,36,83.4 %,0 %
205,"64,636",-0.1 %,-62,"1,293",50,-5,1.405,46,93.1 %,0 %
206,"55,840",-0.15 %,-82,0,"410,450",-284,1.931,35,90.3 %,0 %
207,"55,400",1.25 %,686,40,"1,396",488,2.223,37,39.6 %,0 %
208,"46,843",0.18 %,85,180,260,-7,1.526,36,39 %,0 %
209,"46,765",-1.59 %,-756,234,200,"-1,110",2.267,29,N.A.,0 %
